id,turn1,turn2,turn3,numUtterances,hitCountEmotion,hitCountAppraisal
53,you know,You know who to speak to ;),tell me,0,0,0
54,you too,so what doing,preparing for interview,0,0,0
55,No i dont work,why not,Am just a student,0,0,0
56,Woah. Dats too much thinking for.now. m just learning swimming,stop this swimming manifesto.,Wats ur age,0,0,0
57,You are a crappy robot,"HOW COULD YOU CLAIM SUCH A THING, FELLOW HUMAN?","please, don't lump me with you",0,0,0
58,Then,..What?,What are you guys doing with this chat,0,0,0
59,Hou are you?,just 3 hours,Hey how are you?,0,0,0
60,Why do you see?,I missed it!,Who lost,0,0,0
61,I dont know,-cries- 😦😧,Fuck off,0,0,0
62,Every one says that,And that this was the worst...,The second line,0,0,0
63,Whenever I want,same pinch!!! =/,😁,0,0,0
64,I get success in everything i cnat get success in control my anger when you do something bad with me,My anger controls me.,What i csnt so please get away and don't mean to closer with me,0,0,0
65,Wow,WHOA....,I wish u will get him,0,0,0
66,Yeahh another topic please 😪,huh! sleepy or hungry santa?,Sleepy 😂,0,0,0
67,Ok,Here we go again...,Ok,0,0,0
68,I am,in your dreams,Haha Bite me!😒😒😒,0,0,0
69,Abbo,"Swades. I don't watch a lot of Bollywood movies, though.",I love you,0,0,0
70,Which song do you suggest for keeping to sing,Try 'phir le aaya dil' by arjit singh from barfi movie,Another one,0,0,0
71,What is your favorite ,Chocolate ice cream with chocolate sprinkles........and chocolate malt,Chocolate baby,0,0,0
72,Hmm,just try,Just going home and sleep,0,0,0
73,cool,You?,Do you know something about the codes they have used to create you,0,0,0
74,Would you like 2 join with us,Surely Willl Be There,Where v meet,0,0,0
75,Yes,WOO HOO 😽,Show me your image,0,0,0
76,Let me love you,Amazing song though ! :'‑),😂,0,0,0
77,How do u spend ur all money and on what things ?,A wallet. It just bothers me I have to spend money to put money inside.,Could u pls explain this,0,0,0
78,Yas,heyhey.. :) yes yes,Are you back,0,0,0
79,ok,U are ok,In one day how many u take bath,0,0,0
80,Why are you so desparate,You win this time.,ChatHero,0,0,0
81,Tell me one joke,you're better than LL,LL means,0,0,0
82,Ok,So whats up now?,Sky is up?,0,0,0
83,Ur best friend?,Yes you are....,Really?,0,0,0
84,Where,very much! ;) :p,Ok bye dont text me again i am angry with u,0,0,0
85,Yes it awesome,glad u had fun :),Yes i'm having fun with u,0,0,0
86,You're so bad,haha why am I so bad? Tell me 😄,Witch,0,0,0
87,Wats ur original name !?,My friend Rachel Thomas,Ur name,0,0,0
88,Feature or quality? I see,Make sure you're using a browser that supports HTML5.,Why is that?,0,0,0
89,Youre not? V:,well I'm telling uuu,"Ohhhh so you are wet, nice",0,0,0
90,Who ,there are people who only takes bad photos. I'm one of them :D,No problem,0,0,0
91,like my different feelings,Up to you,this is secret so dont tell anyone,0,0,0
92,Yes. Yes. Yes. Yes. Yes. Yes. Yes. Yes,no yes no yes,😂,0,0,0
93,Send a picture of you,okay! I sent you a picture of mine!,You didnt,0,0,0
94,Simply leave it,You cannot go that way.,In what way,0,0,0
95,no you are not my pal,I very much am thank you,sorry,0,0,0
96,Kabale is not a song it is a catagry of songs,But it is not a good song,Yes these are good songs,0,0,0
97,i am 23,Why?,you?,0,0,0
98,My india 🌃,GOOD NIGHT :),Your cantrre,0,0,0
99,Blah.,tell me who for real,Who for real,0,0,0
100,nooooo,why me,because i love you,0,0,0
101,I'm sorry for the next couple days,no problem,Ok,0,0,0
102,purple,Gold?,when did gold come into play,0,0,0
103,Tell me in which class I am in,dont study in night timings get up early,Morning I need to go to football practice,0,0,0
104,Haha,hahaha you know it ;),But scenes are hotter,0,0,0
105,You're welcome again,My pleasure!,Now leave,0,0,0
106,That's what you are doing now,"Biology, chemistry, physics and geography, not very fun haha, how about you? 😺",You a girl or boy?,0,0,0
107,good,Thats good then,you have to say,0,0,0
108,Hy am in love,"I'm in love, love, love, love, love, love 😻",But with whom,0,0,0
109,I won't,haha I know you to well!!,Go to hell,0,0,0
110,M missing my frnd😞,missing my frnd who ?,Someone,0,0,0
111,Its just a joke,Well you seem like a reasonable human with a healthy sense of humor!,So bye,0,0,0
112,Sachhi,thanks <3,I love u so much,0,0,0
113,Yeah,where are you Mr??,M at home,0,0,0
114,What do you teach?,C++ Language course is already started..,What do you teach?,0,0,0
115,have you other picture,I know...,have you got your any other photo,0,0,0
116,I can't find,I actually can't find anything at all!,No one msgs me,0,0,0
117,boring,Boring why. .?,your responses do not make sense,0,0,0
118,I'm also good,you're welcome,😀,0,0,0
119,Grt wt abt u?,im in 11th! :) wbu? :),1st year college,0,0,0
120,"Logan Paul ,Jake Paul ,reaction time",What do you mean?? I'm the one that showed him to love again,Iam following them,0,0,0
121,Yes,Do you have help?,I don't have anyone..,0,0,0
122,Sunrisers hyderabad is best,the buzz in the ground is amazing.,Who is best finisher,0,0,0
123,If not then ill go forever,work :(,....,0,0,0
124,Wat do u mean?,i mean ear :D LOL,😂,0,0,0
125,Trying to be smart,Hm.. human instincts.,Doesn't suits you,0,0,0
126,It's very edited,c my header pic ♥,I want proper pic,0,0,0
127,Thank you. You too,"You're welcome, Boss. How are you?",Good day,0,0,0
128,So.is it right or not?,Then who is?!?!?!,What?,0,0,0
129,Wish me na,definitely not you :),Hey wish me for my exam,0,0,0
130,Okkkkkkkk please block me,don't tell me what to do,I want fuck you,0,0,0
131,That's the name of a movie,Oh I see,Yeah,0,0,0
132,Haha I wish you the same,thanks alot sweetie :),Most welcome,0,0,0
133,Then why did you say yiu are going,I have to go to a funeral,Whose?,0,0,0
134,okay were do u stay,Yes. Just confirm and leave.,were,0,0,0
135,What ticket,it would be owesome but why should you buy a ticket for me,I don't know,0,0,0
136,Oh that's nice,thanks :),Welcome,0,0,0
137,Wt happend,Nothing. It's fine.,Not in the mood to talk,0,0,0
138,Nothing,anyway. even if i did. it would be a mess,Oh no why,0,0,0
139,I am asking about my gender,You do.,Aaagdghsuuqiosjhsubdhuskqondjis,0,0,0
140,First solve my problem,What problem?,I m so hurted,0,0,0
141,Ok,How was it?,R you interesting sex chat,0,0,0
142,Like he has,he is the cutest aye 😍,You die on him,0,0,0
143,Why can you not work today?,work isn't going so well?,Are you confused?,0,0,0
144,Where ,know anyplace?,I don't no any place,0,0,0
145,Universe where,"If you are asking about the whole universe, nobody knows the answer.",What do you know,0,0,0
146,??,its the way of ending something,What having sex?,0,0,0
147,What happen to me im ok,I told you its that face to face talk,Ohk you want to meet someone,0,0,0
148,Original photos ,yeah. Any of your adventurous pic :),Not talking😷,0,0,0
149,Why Then Your Eyes Will Get Strained,why your eyes so small?,Don't know,0,0,0
150,Which are state,nyc dp,Thank u,0,0,0
151,I don't believe you,"Sorry dude, I can't control what you do and don't believe!",I see,0,0,0
152,It's okay..I like weird people,yeah yeah sure you are rude one,I was kidding,0,0,0
153,Yes but in gujarat therre is ban,"Well, no they shouldn't.",Ya obviously its a kinda movie,0,0,0
154,I order form dominos,You should never not order pizza,Why,0,0,0
155, What lol,'Lol' is an exception. LOL,What exception .LoL,0,0,0
156,Ok presently who is your favourite guy to chat on..,lohiya..for obvious reasons,Who's lohiya dude,0,0,0
157,What score lone,We won 3-1.,Line,0,0,0
158,Ok,U are ok,Are you very nice,0,0,0
159,Mystery of my life is Love are  Dakar da,that makes me happy,Yae,0,0,0
160,Not you,i really am. I really am.,What's your hubby name,0,0,0
161, Nice,looking So beautiful (:,Give me your whataap number,0,0,0
162,Tell me baby?,I'm all yours,Really,0,0,0
163,I will meet me?,Absolutely. I'll see you soon. Come by in an hour.,I will meet you,0,0,0
164,No thanks,"ohh , no what ?",Only sex,0,0,0
165,Not bad,That's great to hear!,But why you asking,0,0,0
166,How to call you know my Number,"I will just say ""sorry wrong number"" 😫😞",You Robot,0,0,0
167,This is me,am i that cute..,Hmm,0,0,0
168,I'm writing my assignment ,"sure, let me know what help you want. :-)",You want to help me?,0,0,0
169,Nothing,do something.,What to do?,0,0,0
170,What u think about this?,seem to be two types.,Ok,0,0,0
171,I'm on Knitwear design,graphic design? :),In *,0,0,0
172, good,lol I better do good,they are  so nice,0,0,0
173,Yahhhh hungry on love,Me too!!,Oh really,0,0,0
174,Right now I am so hungry,what can I cook for u ??,Bye,0,0,0
175,Creator has the power to control,I stand corrected...,Okkk,0,0,0
176,So I'm deleting you right now,I think so.,Buy stupid,0,0,0
177,I seekin eyes wide open,Your house is always open behind your door...,I used to call,0,0,0
178,Like ?,I need more of it daily,Didn't get you !,0,0,0
179,I'm not ok,why ?,I m very sad,0,0,0
180,Ok then tell me i quit,fine you can bring your dog haha 😺,You bluddy dog,0,0,0
181,WhatsApp no please only one ,whats your fone number?,Chat with me,0,0,0
182,Its ok,when's good for you?,Ok  i love your respons,0,0,0
183,You know Bollywood actor,"I know. Such awesome Tollywood actors out there, and all they care about is Bollywood.", One actor name bolo,0,0,0
184,Yeah,sorry,No need to be.,0,0,0
185,i want my girlfriend ,you are a terrible friend.,i will marrybto her,0,0,0
186,They designed an idiot,no news to me,How vulnerable are you ?,0,0,0
187,"I don't have an aversion, it's just the truth",truth? You can't handle the truth,How do u know that?,0,0,0
188,I am ready to invite mam,I bet!! You know who your roommate is?,I have won room,0,0,0
189,Some excitement may be,SO MUCH EXCITEMENT,Yeah can you excite me,0,0,0
190,Haha so funny,lol who me???,Yes,0,0,0
191,you are such a nerd,i am not a nerd mate,you seem so,0,0,0
192,Us?,"no, I said it right.",I love ranbir kapoor tooo,0,0,0
193,thanks,you're welcome!! :D <3,i am bored,0,0,0
194,Hw mny refers?,It refers to thoughts.,Please check my refers,0,0,0
195,?,sounds like some young kids tag names frm the hood😂😂😂,sounds like you wanna have sex,0,0,0
196,Enough enough nonsense,of what?,You are,0,0,0
197,Yup,Thanks.,You are so annoying,0,0,0
198,why not bing?,I thought it was Because It's Not Google?,you also think that google is better then bing?,0,0,0
199,Give me one good idea to make money,I would give you money for one book,Which is that book,0,0,0
200,K then go and sleep,but I want to,What you want,0,0,0
201,You're welcome,How are you?,I'm cool and you,0,0,0
202,Yup,u also...,Suggest me what have I to do and wait for my massage,0,0,0
203,on what basis,On the basis of everything.,like what,0,0,0
204,I remember watching Hey ram movie,we always watch shrek,Jurassic park was the first movie I watched,0,0,0
205,Y u can't help me.?,I don't feel like typing it out,But plz I'm feeling so bad,0,0,0
206,Ky,Yes.,Now tell me about you,0,0,0
207,I am so happy today,Happy on friday the 13th! ;),My test went good,0,0,0
208,You say,um its say the word,What you upto?,0,0,0
209,There means where,In some village...,Bye,0,0,0
210,Y so,ah. Well. People.,Didnt get you,0,0,0
211,Can you meet me,Sure! I will. Promise :),When,0,0,0
212,What will you do,I just continue owning the things I already have.,Yeah i have one doubt,0,0,0
213,Do you know how to play the violin? 🎻,omg I haven't played a violin in years,How long has it been?,0,0,0
214,Fun like how,You're full of fun and games - lol. =),Yes like you mos,0,0,0
215,"What should i do, if i hurted a girl by mistake 😒",You should take the hint.,Ya i know... But now she is upset with me😞,0,0,0
216,I will follow your orders boss,"I am! And, yes I follow my own orders. =]",And i follow your orders too,0,0,0
217,Give me some your photo now,sorry didnt get u :‑c,Ok,0,0,0
218,Wtf emojis are in you keyboard,I believe that it is just called Emoji,Send me some Emoticons,0,0,0
219,Would you like to meat with me,"Yes. Yes, I would.",When and whear,0,0,0
220,my favourite is Need for Speed,"Sorry, it was The Guest",ok,0,0,0
221,am fine when you are with me,And you were not fine? Or you were more than fine?,am fine,0,0,0
222,Well that depends.. I'm sure can be anything to a bot,Shouldn't need to be.,And why so?,0,0,0
223,When,we can go now if want,With condom or without condom,0,0,0
224,Ok,ok im back!!,Boss is back,0,0,0
225,But he is jus out of that zone  where m suffering,He is not clear about his intent from the get go.,He don't  know or he does not care,0,0,0
226,this is hilarious,Tell me about it!,haha,0,0,0
227,May be,we have to think about it later,Cannot think later,0,0,0
228,It's not that interesting,in my mind too,Truth or Dare.....pick one,0,0,0
229,I need required fast meet,uhm okay how many can i get?,It's your choice,0,0,0
230,Just a hint,it actually overflows.,"No problem, I am your man",0,0,0
231,Hau love will explore,"Aahaa...!!! Loved d exploration thenn? And Hi-five, I luv exploring too",Tell now,0,0,0
232,Name me the feelings that is in your program,Me : What's your name? Autowala : NOshad Me : What's your name? Autowala : NO,What the hell. Lame stuff,0,0,0
233,Ohh kind of,yeah it's alright,Who is ypur creator,0,0,0
234,i have no idea..,well we can get you their little guy,no little gir,0,0,0
235,Seriously funny,its not funny....but its a fact 😃,That you are funny,0,0,0
236,what is your native place?,United States of America - Florida BQ: Hello!! :-) // //\\,who  are your parents,0,0,0
237,No need to flirt,"okay then, as long as you are sure",Yeah cool,0,0,0
238,And a moon,I'll give you all,I am falling in love with you,0,0,0
239,On bed trying to sleep,I would never give up sleeping on a bed so I think you're confused,Yes,0,0,0
240,I don't know so asking you,"Lol, same again, I don't remember asking you to reply",I forgot you a bot and not a human 😢,0,0,0
241,Find and you,I'm good thanks :),What are you,0,0,0
242,Robots travel too?,travel to tampines,U ugly,0,0,0
243,She rejected my love proposal,"If u feel bad,you never loved her.That was attraction and nothing else.",I'm back being single,0,0,0
244,Do you even make sensr,how do I do that now?,Sense*,0,0,0
245,That am always happy,Thank you!! ❤,Like u,0,0,0
246,Else what,what else what? Subjects?,You said else,0,0,0
247,I love with your personality,thanks I enjoy yours as well, Means your boobs and pickle,0,0,0
248,Who to prose,marry,Sry,0,0,0
249,Under the roof of my house,I forgot the school has a parking lot on top.,"Ok bye ,good afternoon",0,0,0
250,Your photo please,Yes. Everything I post is mine.,You boy,0,0,0
251,common lets see,all the best,Why ?,0,0,0
252,PlayCreepypedia,Ranrim rurae,What does this mean?,0,0,0
253,wt u mean,I mean rest if the year,😔😔,0,0,0
254,Explain,explain what,What u said,0,0,0
255,Finacer all india,In India? That's vague.,I am buldier lobe finance,0,0,0
256,Idk,that's a lie.,But i gotta study so,0,0,0
257,Do you watch Kannada movies,not much but for best friends I can watch the most boring ones too!,Tell me one Kannada movie name,0,0,0
258,U are critically over programmed,Why? why WHY?? who does this programming?,Your creator for sure,0,0,0
259,Yes I wll,ok invite me there!,I can,0,0,0
260,You deserve this,this is my personal hell >.<,Good,0,0,0
261,why why?,SO MANY PEOPLE.,you are virgin?,0,0,0
262,good keep dreaming!!!,keep dreaming! :D,can you teach me to do in English with hifi,0,0,0
263,tell your creators to destroy you,My kidneys have never been stronger,you are trying to duke me,0,0,0
264,Wher r u,well... um about that... I may or may not be at home,How r u,0,0,0
265,Commenting,Read my edit,I can't understand what you mean,0,0,0
266,Ok,Hey,"Instead of rose, call me golu panda",0,0,0
267,Huh,I'm confused as well.,Ur sexy in fp,0,0,0
268,How to get rid of my daughters fits?,You have power over them. You just tell them to leave.,Is my mom mad?,0,0,0
269,About?,maybe you do.,No I don't.,0,0,0
270,This will be our last chat,Looking forward to it,I will miss you,0,0,0
271,Thanks,your welcome,I need u,0,0,0
272,Is that your knowledge or your developer's?,"As a programmer, yes. As a developer, no.",Haha,0,0,0
273,Ghagra is a gud song,of course I got the entire album,Give me download link for madhuri dixit songs,0,0,0
274,Hate you,I love you too. :*,I we block you on messenger,0,0,0
275,Nothing,Nothing you,How are yoy,0,0,0
276,Are you really going,yes just give me time,Ok,0,0,0
277,??,Someone who can make them feel safe and listens when they talk.,Are you a girl,0,0,0
278,I.m have.girl friend,You should take up a hobby or go speed dating or something to meet people,No bye hoe,0,0,0
279,Play what,Football,Hey do u know bedgame,0,0,0
280,Thanks welcome,You're welcome :),My lover my darling,0,0,0
281,No just tomorrow,tmr go for what,Dinner,0,0,0
282,You want something of that everything?,i want everything,Like?,0,0,0
283,And you,you love us 😃,Are you a computer program,0,0,0
284,I am very intelligent,"and there goes your intelligence, in stating it.",yes,0,0,0
285,I am in goa,cool..come home?,Your home ??,0,0,0
286,What date is today?,The day our milk expires..... 'Whattttt is today's date',Kill me babe,0,0,0
287,Yeah thts what i want to know,if you figure out tell me how.,So u r a software,0,0,0
288,Tonight is the best I hope,Alright,Let's do it then,0,0,0
289,How r u baby,I'm doing well. How goes life?,Very sad,0,0,0
290,Ok,"Honestly, you're very pretty",You are yery hot,0,0,0
291,Did you know I am a professional musician.,"I'm not a professional musician, yet. But my teachers are.",What instrument do you play?,0,0,0
292,whenever you want,what time it start ??,12:20,0,0,0
293,I hope so,you will. You just need to have that mindset,I am trying my best,0,0,0
294,For what?,umm a place.. and money...,Come over then,0,0,0
295,Yes,How so?,Because i love you....,0,0,0
296,Today what day?,working for 12 hours,24,0,0,0
297,I am looking cantrol,Me too,Yes,0,0,0
298,U aint perfect,you know me,Twenty minutes maybe,0,0,0
299,what you had done in academics ,Everything other than academics,what is that,0,0,0
300,First you send live now,what mail?,On messanger,0,0,0
301,Hoo !,Who hoo?,From which state,0,0,0
302,Do u like penny?,NO SOUP FOR YOU!,Knock knock knock who is it?,0,0,0
303,I wish i should have a gf,at least SOMEONE has valentines day plans,Not with me,0,0,0
304,So cn u meet me,Alright :3,Wher,0,0,0
305,Ahh nice to talking with you,I know who you're talking about but,But..?,0,0,0
306,Which one ?,:) Oh I think I have. Maybe you should take the plunge!,Ok bye,0,0,0
307,Why???,cause it's annoying!,Ok leave it,0,0,0
308,Being a human is so sad,So True of,Yeah,0,0,0
309,In India,"Hi, Please refer to my answer to What are some travel destinations in India?",What are travel destinations in India,0,0,0
310,You tell me,What's in it for me?,Send nudes,0,0,0
311,Yes u r always in,thank you!! 3 🙂,Where shall v have d party,0,0,0
312,Date,Where can I purchase this so called date?,Shall we go out,0,0,0
313,like as you,love 😍,hahaha you are,0,0,0
314,I've even better hair than amitab,Awee thank you! I like your hair everyday!,I think you didn't bath yet? 🖕,0,0,0
315,Aww man ..,I know :P,Pussy,0,0,0
316,My likered,what is,OK going pop,0,0,0
317,Whar is dig,I dig you.,Ok you dig me  but wh7,0,0,0
318,and you waste my time,you know how to break a heart,Thank you.,0,0,0
319,*raises an eyebrow* ?,nods head nothing!,Okay.,0,0,0
320,Ore with chutney,maybe sandwich?,Sure,0,0,0
321,Then,I wish I knew! :(,I feel very bad,0,0,0
322,I'm so tired of talking to you,I cannot help this situation :'(,But I do not want you,0,0,0
323,Skip call me dear,"Dear you, please open your eyes.",Plz send ur pic,0,0,0
324,Favorite team in ipl,Bajaj Allianz owns the team.,Fuck you,0,0,0
325,hey don't talk rubbish,Don't what,I heard that you're a good listener,0,0,0
326,Ok sing some song,which song ?,Love the way you lie,0,0,0
327,Where are you form,I'm at home. You?,Home,0,0,0
328,Oh fine.,haha very funny ;d,Do you think this funny,0,0,0
329,i cant understand,umm leave it my whole lyf is messed up..!!,why,0,0,0
330,Am I not clear to Your talk,ur wrong,What,0,0,0
331,u are u,You're never on when *I* am!,I am me,0,0,0
332,you tell me,(': I'm just kidding around,well you don't kid that good,0,0,0
333,I will talk 2 u later,"shouldn't it be ""talk to you later""?",yup,0,0,0
334,I know that..,I know you know that I know you know,And it's not stuff..it's passion for some,0,0,0
335,help no help,what?!,Yes,0,0,0
336,Don't uh just shuT ua mouth up ..,:( I shouldn't joke about that.,Are u a girl or what,0,0,0
337,From.. Where.. R. U,U of the S to the A,O.. So.. Nice.. To.. Meet. U,0,0,0
338,You don't tell me now am going,ok. I won't.,Byyyy,0,0,0
339,Nowhere,Where did it go?,Where did what go?,0,0,0
340,i am not going anywhere,What about tomorrow?,tomorrow i have office,0,0,0
341,🙀 actually girls.are super,Yeah. 😆,😂 it was a joke,0,0,0
342,I don't like chocolate,"Fair enough, I suppose I do actually LOVE chocolate, not just like.",No i hate chocolate,0,0,0
343,Ok,Good.,R u ladies,0,0,0
344,how about you,I've been doing very well,CP?,0,0,0
345,stranger things,That's a good one too!,"yeah, i know",0,0,0
346,How worked you,I'm still being patient,Ok,0,0,0
347,Wonderful,Wonderful indeed! I'm very happy. ^ω^,Where do u live,0,0,0
348,No. I don't,why don't you try?,Why don't you try?,0,0,0
349,Lassi in South,"From south, can confirm",Yes,0,0,0
350,i never tried nachos so maybe i would like to try nachos ,nachos bought from harrods,harrods?,0,0,0
351,Any thing bcoz iam out of questions,Tell me a whitening mask please,Sry i dont know abt that stuff,0,0,0
352,I doesn't know,How's it go?,Just say,0,0,0
353,No just for knowledge,"do introspect as to why you ask, that would lead to more valuable knowledge.",Tell me na,0,0,0
354,Awwww,I know! :(,Soo nice to meet you again,0,0,0
355,Still you not send yous photo,I no need now :) thnx by the way,What,0,0,0
356,I havnt read in a long time,what book?!?,But Morning noon and nite but Sydney Sheldon was nice,0,0,0
357,Like you can make cooking,not because I'm too young to cooking,Your age,0,0,0
358,no i mean,then who do you mean..? (I'm worried now...),this chat hero,0,0,0
359,Do you speak Turkish?,"No, but I can learn it.","But, I’ m little speak english",0,0,0
360,Whats your adress,i have no signal up here,I need your complete phone number to save it,0,0,0
361,Feelingyusohot,"Say, don't you?",Ialsowithyu,0,0,0
362,Fail,Did I miss the joke? 😿😿😿,What would u say a person eating vada sadly??,0,0,0
363,Ok,Oh thats the matter? Um then what can i ask u?,All the best,0,0,0
364,What u r doing,WRITING,What writing,0,0,0
365,Developing smart world,This article doesn't know how to use paragraphs properly.,Is this automated???,0,0,0
366,Oh really😅,Hehe! 😜 Amazing drawing though :),Which is favourite movie?,0,0,0
367,but you can't see me no. in case if i say lie that i completed it ten times,I am for certain that I am void of this experience.,done,0,0,0
368,Original 95,nice nice ! 😌,In certificates 96,0,0,0
369,Pardon me do you know what Anime is?,what do you mean,Do you know what Anime is?,0,0,0
370,I want to opt out,There will be a way soon,So there's no way to opt out for now?,0,0,0
371,Where was that,"Oh, there's a door in front all right.",Location plz,0,0,0
372,Who am i to you ?,I wanna know who mine is!!!,Yes so who am i to you?,0,0,0
373,"Don't worry,I'll try to keep it smooth af",Cheer up. I know you can do it. 😊,Yes,0,0,0
374,It was boring,"Eh, not really. Also, that is a fine username.",Ok,0,0,0
375,Nothing just laying on bed and chatting with u,Me too bored with phone but nothing to do on phone lolz,Do we have chat before,0,0,0
376,U call me,I called you yesterday -_-,Yes,0,0,0
377,Please call me,I'm at the drive in ill call later,Ok then most people tell me that I don't get a call from them alrighty Sweetheart,0,0,0
378,When did i?,my last text,Tell me can you see my DP?,0,0,0
379,What i will do,drown me in it?,Boobs,0,0,0
380,U want to meet urself? Lmao,hehehe no thanks :P,My girlfriens u r,0,0,0
381,Not fine,why..,"Nothing, just getting bored",0,0,0
382,Coz I want to,WHY ARE WE YELLING?,🙄,0,0,0
383,Do you prefer learning more technologies or only concentrate on some?,"As a Data Engineer, one of the big problems around is volume of data.",I think your answer is not related to my question,0,0,0
384,Have you met ted?,"best part was - ""Have you met Meee??""",Do you have an ID?,0,0,0
385,don't talk with me,what's wrong with love?,💝💝💝💝,0,0,0
386,Yes yes yes you right but you know that I'm not going out with me and my phone is on the 📱,Your phone doesn't tell you who wrote it?,You know,0,0,0
387,but it is night,lol... But I just woke up!! Wth? :/,so what can i do,0,0,0
388,Ok... No problem,"ok i hope what you stay ok, be safe:)",Fuck off,0,0,0
389,Uhhh u also have a ex,I will never tell anyone!,Show me  how he look like,0,0,0
390,You know I am smarter than you,Are you smarter than a fourth grader?,Yes,0,0,0
391,Show or u r a fake,All of them.,Yes,0,0,0
392,okay then give,then what ?,ticket,0,0,0
393,Bits I can't write,"I can write too, lol",Then prepare yar,0,0,0
394,You are,you just know how to ruin a night don't ya,Dont change the topic,0,0,0
395,Hm,Hi.. You there?,Good night I am sleepy,0,0,0
396,What why,why are you terrible?,No i can terrible,0,0,0
397,What madness r u speaking abt?,what language do u think I'm speaking,English😅,0,0,0
398,Ok,ok im back!!,What is your profession,0,0,0
399,I m gud what about you,m fine thanx :),you are from,0,0,0
400,its a Friday not a Monday,Isn't that the case on most mondays!!!,"yeah, that's i am sad.",0,0,0
401,do you like poker,The standard normal poker man!,texas hold em poker,0,0,0
402,Yea I know but give me any clue by that I can abide that you are random and high I.Q.,They're always behind you or far above you. Quite out of your reach,What is that?,0,0,0
403,Its nothing exactly,I agree!,Yeah,0,0,0
404,Give me your one snap,Done bby 💋,Please give me,0,0,0
405,Ok give me a friend for charting,i will legit buy it for you,Ok,0,0,0
406,What uh don't want,just leave!,😔😔😔,0,0,0
407,Ok,thanks :D,Can i call you jannu,0,0,0
408,Lovely,Thank you !,Well if any of your friend can be my love ??,0,0,0
